ipeds_id,institution name,year,State abbreviation,City,State abbreviation.1,ZIP code,"Tuition and fees, 2018-19","Tuition and fees, 2019-20",Institution size category,Sector of institution,Level of institution,Control of institution,Degree-granting status,Degree of urbanization,Urbanization,Enrollment
143084,Augustana College,2019,Illinois,Rock Island,Illinois,61201-2296,42135,43610,"1,000 - 4,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Small,City,2607
143118,Aurora University,2019,Illinois,Aurora,Illinois,60506-4892,24260,25060,"5,000 - 9,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,Suburb,5875
145619,Benedictine University,2019,Illinois,Lisle,Illinois,60532-0900,34290,34290,"1,000 - 4,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,Suburb,4593
143288,Blackburn College,2019,Illinois,Carlinville,Illinois,62626,22410,23510,"Under 1,000","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Town: Distant,Town,556
143358,Bradley University,2019,Illinois,Peoria,Illinois,61625-0001,33760,34610,"5,000 - 9,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Midsize,City,5517
144005,Chicago State University,2019,Illinois,Chicago,Illinois,60628-1598,10163,11366,"1,000 - 4,999","Public, 4-year or above",Four or more years,Public,Degree-granting,City: Large,City,2265
144281,Columbia College Chicago,2019,Illinois,Chicago,Illinois,60605-1996,27176,27756,"5,000 - 9,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,City,6419
144351,Concordia University-Chicago,2019,Illinois,River Forest,Illinois,60305-1499,32078,32880,"5,000 - 9,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,Suburb,4204
144740,DePaul University,2019,Illinois,Chicago,Illinois,60604,39975,41202,"20,000 and above","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,City: Large,City,20073
148496,Dominican University,2019,Illinois,River Forest,Illinois,60305,33584,34420,"1,000 - 4,999","Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,Suburb: Large,Suburb,2837
144892,Eastern Illinois University,2019,Illinois,Charleston,Illinois,61920,11803,11989,"5,000 - 9,999","Public, 4-year or above",Four or more years,Public,Degree-granting,Town: Distant,Town,5828
