ipeds_id,institution name,year,HD2019.State abbreviation,institution name,HD2019.City location of institution,HD2019.State abbreviation,HD2019.ZIP code,"DRVIC2019.Tuition and fees, 2018-19","DRVIC2019.Tuition and fees, 2019-20",HD2019.Institution size category,HD2019.State abbreviation,HD2019.Sector of institution,HD2019.Level of institution,HD2019.Control of institution,HD2019.Degree-granting status,HD2019.Historically Black College or University,HD2019.Tribal college,HD2019.Degree of urbanization (Urban-centric locale),DRVEF122019.12-month full-time equivalent enrollment: 2018-19
142832,Adler University,2019,Illinois,Adler University,Chicago,Illinois,60602,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,1406
142887,American Academy of Art,2019,Illinois,American Academy of Art,Chicago,Illinois,60604-4302,34270,35270,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,206
142957,American Islamic College,2019,Illinois,American Islamic College,Chicago,Illinois,60613,,7600,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,11
143048,School of the Art Institute of Chicago,2019,Illinois,School of the Art Institute of Chicago,Chicago,Illinois,60603,49310,50920,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,3605
143084,Augustana College,2019,Illinois,Augustana College,Rock Island,Illinois,61201-2296,42135,43610,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,2607
143118,Aurora University,2019,Illinois,Aurora University,Aurora,Illinois,60506-4892,24260,25060,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,5875
143181,Tricoci University of Beauty Culture-Urbana,2019,Illinois,Tricoci University of Beauty Culture-Urbana,Urbana,Illinois,61801,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Small,120
143215,Southwestern Illinois College,2019,Illinois,Southwestern Illinois College,Belleville,Illinois,62221-5899,3660,3660,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,6383
143279,Black Hawk College,2019,Illinois,Black Hawk College,Moline,Illinois,61265-5899,4470,4470,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,3273
143288,Blackburn College,2019,Illinois,Blackburn College,Carlinville,Illinois,62626,22410,23510,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Distant,556
143297,Blessing Rieman College of Nursing and Health Sciences,2019,Illinois,Blessing Rieman College of Nursing and Health Sciences,Quincy,Illinois,62305-7005,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Town: Remote,240
143303,Blessing Hospital School of Radiologic Technology,2019,Illinois,Blessing Hospital School of Radiologic Technology,Quincy,Illinois,62305-7005,,,"Under 1,000",Illinois,"Private not-for-profit, 2-year",At least 2 but less than 4 years,Private not-for-profit,"Nondegree-granting, primarily postsecondary",No,No,Town: Remote,20
143358,Bradley University,2019,Illinois,Bradley University,Peoria,Illinois,61625-0001,33760,34610,"5,000 - 9,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,5517
143376,Paul Mitchell the School-Bradley,2019,Illinois,Paul Mitchell the School-Bradley,Bourbonnais,Illinois,60914,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Small,224
143464,Cameo Beauty Academy,2019,Illinois,Cameo Beauty Academy,Oak Lawn,Illinois,60453,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,86
143473,Cannella School of Hair Design-Villa Park,2019,Illinois,Cannella School of Hair Design-Villa Park,Villa Park,Illinois,60181,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,34
143482,Cannella School of Hair Design-Chicago,2019,Illinois,Cannella School of Hair Design-Chicago,Chicago,Illinois,60617-4303,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,43
143491,Cannella School of Hair Design-Chicago,2019,Illinois,Cannella School of Hair Design-Chicago,Chicago,Illinois,60632-2549,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,City: Large,50
143543,Empire Beauty School-Hanover Park,2019,Illinois,Empire Beauty School-Hanover Park,Hanover Park,Illinois,60133-5421,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,49
143552,Capri Beauty College,2019,Illinois,Capri Beauty College,Oak Forest,Illinois,60452,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,53
143613,Carl Sandburg College,2019,Illinois,Carl Sandburg College,Galesburg,Illinois,61401,4670,4810,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Rural: Fringe,1236
143659,Catholic Theological Union at Chicago,2019,Illinois,Catholic Theological Union at Chicago,Chicago,Illinois,60615-5698,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,161
143695,La James International College-East Moline,2019,Illinois,La James International College-East Moline,East Moline,Illinois,61244,,,"Under 1,000",Illinois,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Suburb: Large,11
143853,Midwestern University-Downers Grove,2019,Illinois,Midwestern University-Downers Grove,Downers Grove,Illinois,60515-5514,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,3296
143978,The Chicago School of Professional Psychology at Chicago,2019,Illinois,The Chicago School of Professional Psychology at Chicago,Chicago,Illinois,60654,,,"1,000 - 4,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,1161
144005,Chicago State University,2019,Illinois,Chicago State University,Chicago,Illinois,60628-1598,10163,11366,"1,000 - 4,999",Illinois,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,City: Large,2265
144014,Chicago Theological Seminary,2019,Illinois,Chicago Theological Seminary,Chicago,Illinois,60637,,,"Under 1,000",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,109
144050,University of Chicago,2019,Illinois,University of Chicago,Chicago,Illinois,60637,58230,60552,"10,000 - 19,999",Illinois,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,City: Large,16572
144157,City Colleges of Chicago-Kennedy-King College,2019,Illinois,City Colleges of Chicago-Kennedy-King College,Chicago,Illinois,60621-2709,3504,3504,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,2203
144166,City Colleges of Chicago-Malcolm X College,2019,Illinois,City Colleges of Chicago-Malcolm X College,Chicago,Illinois,60612-3197,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5128
144175,City Colleges of Chicago-Olive-Harvey College,2019,Illinois,City Colleges of Chicago-Olive-Harvey College,Chicago,Illinois,60628-1696,3504,3504,"1,000 - 4,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,1744
144184,City Colleges of Chicago-Harry S Truman College,2019,Illinois,City Colleges of Chicago-Harry S Truman College,Chicago,Illinois,60640-6063,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5366
144193,City Colleges of Chicago-Richard J Daley College,2019,Illinois,City Colleges of Chicago-Richard J Daley College,Chicago,Illinois,60652-1299,3504,3504,"5,000 - 9,999",Illinois,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,5166
